goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
11,4,0,29,27.88,70,63.64,7,38.89,1,1,72.0,99,46.26,1301,24,32,35,15,0,0,0,7,3,0,0,0,0,56,1,216,14,0,0.0,19,70.37,0,32,3,10,45,25,6,24.44,2,11,8.85,0,0,0,Paul Onuachu,Trabzonspor,295123,3051
4,1,1,34,47.22,9,37.5,7,63.64,14,1,83.64,43,44.79,1263,14,17,8,15,0,0,0,20,4,0,0,0,0,151,4,460,23,14,20.59,43,53.75,13,21,9,0,28,17,2,14.29,0,0,1.21,0,0,0,László Bénes,Kayserispor,354558,3072
1,4,0,46,50.55,30,62.5,11,68.75,20,1,80.49,76,54.68,1350,15,23,10,15,0,0,0,14,0,0,0,0,0,112,2,652,10,3,27.27,53,46.09,19,85,8,1,9,1,2,11.11,0,0,0.6,0,3,0,Ümit Akdağ,Alanyaspor,1215071,6362
0,1,0,24,66.67,14,58.33,4,66.67,10,1,77.34,38,63.33,538,10,3,3,11,0,0,0,0,0,0,0,0,0,17,0,99,2,0,0.0,11,39.29,15,42,4,1,5,1,2,0.0,1,0,0.84,0,1,0,Allan,Göztepe,987088,3054
0,0,0,1,25.0,3,50.0,0,0.0,0,0,92.59,4,40.0,90,1,2,0,1,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0.0,2,50.0,1,10,1,0,0,0,0,0.0,0,0,,0,1,0,Yusuf Akçiçek,Fenerbahçe,1479523,3052
0,0,0,5,83.33,2,100.0,1,50.0,3,0,80.43,7,87.5,90,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37,0,0,0.0,0,0.0,8,4,0,0,0,0,0,0.0,0,0,,0,0,0,Nazım Sangaré,Gaziantep FK,169425,5138
0,2,0,0,0.0,2,100.0,0,0.0,0,0,87.17,2,100.0,630,0,0,0,7,13,9,4,4,0,3,9,5,9,4,0,197,0,0,0.0,36,58.06,0,11,0,0,0,0,0,0.0,0,0,,0,1,0,Günay Güvenç,Galatasaray,103457,3061
9,0,0,30,47.62,16,53.33,11,64.71,2,2,84.47,46,49.46,973,17,9,7,17,0,0,0,4,1,0,0,0,0,112,1,261,14,1,11.11,18,75.0,3,9,11,6,62,24,18,14.52,1,2,8.65,0,0,0,Anderson Talisca,Fenerbahçe,329245,3052
3,2,0,21,60.0,10,58.82,5,71.43,4,2,77.19,31,59.62,482,13,11,2,8,0,0,0,1,2,0,0,0,0,35,1,88,5,2,50.0,3,50.0,0,1,0,2,15,5,7,20.0,0,7,1.77,0,0,0,Jhon Durán,Fenerbahçe,974577,3052
0,1,0,0,0.0,1,50.0,0,0.0,0,0,49.47,1,50.0,630,1,0,0,7,24,15,9,7,1,4,2,4,2,13,0,94,0,0,0.0,47,33.1,0,8,0,0,0,0,0,0.0,0,0,,0,1,0,Erhan Erentürk,Gençlerbirliği,997705,7802
